AyanBaqurMoarsmenComplete_0508,Moarsmen_on_the_Shores_(Ayan_Baqur),,,Player has completed the Ayan Baqur portion of Moarsmen on the Shores
BroodMatronPincerPickedUp,Asheron's_Raiment_Quest_(Mid),,,You have obtained a Brood Matron Pincer.
chestblackmarrowgatewaylurza0205,Gateway_to_the_Deep,,,You have opened this chest already.
ColorPuzzleCompleted,Clutch_of_Kings_(Kiree),,,You've compleated the Clutch of Kings color puzzle.
GaveHooganShovel,Aerbax's_Prodigal_Drudge,,,Player has gave Hoogan the Shovel
GotOlthoiKatar,Olthoi_Weapons_Quest,,,Picked up note
petshopquestcompleted,Pet_Shop_Quest,,,Player has given all four letters to Larinne Kerendova and completed quest
TaskDIRuschkBossKillTaskWait,Defeating_Vaeshok,,,Cooldown for Society Task Vaeshok
EyeKivikLirTrial1,The_Temple_of_Kivik_Lir,,,You've used the Eye.
KilltaskDesertAreaReedsharkWait_0511,Reedshark_Hunting:_Lost_City_of_Neftet,,,Reedshark Hunting: Lost City of Neftet
MagicItemTraining5,Bleeargh's_Gratitude,,,You have been blessed by Bleeargh to learn item enchantment.
progenitorcrystal4pickup,Crystalline_Adventurer,,,Picked up Progenitor Crystal
Forgetfulness6days,Attribute_and_Skill_Redistribution,,,1 week skill forgetfulness timer.
redbloodgem,Ricardo's_Blood_Gem,,,Ricardo's Blood Gem - Red
RiddleFail2,Gaerlan's_Citadel,,,Player has given the incorrect answer twice.
FocusingStone,Focusing_Stone_Quest,,,Focusing Stone from Mines of Despair
OlthoiHunting7,Warrior_Pincer_Quest,,,Olthoi Hunting 7
TanadaHouseofFireQuest_Flag,Tanada_House_of_Fire_Quest,,,Player flag to start Tanada House of Fire Quest
BoyGrubCompletedQuest,Putiputipuh's_Onga,,,Has the player completed the quest?
NutBoltShadow,Bronze_Statues_Quest,,,Player has picked up a Shadow nuts and bolts and cannot pick up another for 1 day.
lettertonomeapickuptimer,Aerbax's_Prodigal_Tumerok,,,Picked up Letter to Nomea
NewbieQuestStampRithwic,The_Old_Warehouse,,,Rithwic Stamp Quest
DefeatedProdigalDrudgeWait,Aerbax's_Prodigal_Drudge,,,Bonecrunch Wait Timer
HizkRiEye1,The_Temple_of_Hizk_Ri,,,You have selected the correct eye in the Gauntlet.
TalkedToAssistantROT2,,,,talked to Nuhmudira's Assistant
ZigguratEntrance,Gaerlan's_Citadel,,,Player may enter any of the ziggurats
EssenceLockUsed,Crystalline_Markers,,,Used Essence Lock
KillTaskTormentedShadows,Rynthid_Artifact_Collection,,,kill counter
MugOswaldGiven,Oswald's_Dirk_Quest,,,Gave Celcynd his mug
CaptiveTalk80,Glenden_Wood_Invasion_(Low),,,Started Glenden Wood Invasion Low quest
GauntletStage5b_Flag,Gauntlet,,,Player flag for Stage 5 B.
JambiyaAbmimPickup,Search_for_Abmim_ibn_Ibsar_&_Mad_Star_Investigation,,,Ma'yad ibn Ibsar Quest
JosefKeyGiven,Major_Prismatic_Stone_Quest,,,Player has received Gaerlan's Key from Josef
TuskSlavePickUp,Tusker_Slave_Tusk_Quest,,,Tusk picked up from a Tusker Slave.
MaruunStarted,Portal_Space_Time_Travel,,,quest timer
AetheriumRaidsLowCompleted,Aetherium_Raid_(Low),Turn in Dull Aetherium Ore Fragment,,Turned in a Dull Aetherium Ore Fragment
elysasdeterminationpickuptimer,Black_Death_Catacombs_Quiddity_Seed_Quest,,,Picked up Elysas Determination
TalkedToDaliusKendmar,Search_for_Gareth_Dain,,,Talked to Dalius Kendmar.
SpiritedStarted_0813,,,,quest timer
EyeKivikLirTrial4,The_Temple_of_Kivik_Lir,,,You've used the Eye.
TempleSacredStone,,,,Picked up the sacred stone.
